"Категория интересов, ур. 1","Категория интересов, ур. 2","Категория интересов, ур. 3","Визиты","Посетители","Аффинити‑индекс","Отказы","Глубина просмотра","Время на сайте"
"Электроника","Аудио- и видеотехника","Стационарная аудиотехника","7","6","134.0554141029866","1.0","1.0","00:00:00"
"Семья и дети","Товары для детей","Детские книги","7","7","122.29031169715986","1.0","1.0","00:00:00"
"Семья и дети","Товары для детей","Детские игрушки","7","7","70.99880813241157","0.8571428571428571","1.1428571428571428","00:00:00"
"Развлечения и досуг","Кино","Драмы","7","6","77.65283950270991","1.0","1.0","00:00:00"
"Развлечения и досуг","Музыка","Концерты","7","6","46.20418532936218","1.0","1.0","00:00:00"
"Недвижимость","Загородная недвижимость","Не определено","7","6","81.78023480941098","1.0","1.0","00:00:00"
"Транспорт","Авто","Шины и диски","7","7","141.944247530308","1.0","1.0","00:00:00"
"Сельскохозяйственное оборудование и техника","Не определено","Не определено","6","6","194.272431657923","0.8333333333333335","1.8333333333333333","00:00:16"
"Бытовая техника","Мелкая техника для кухни","Блендеры","6","5","299.2897132848465","1.0","1.0","00:00:00"
"Бытовая техника","Мелкая техника для кухни","Пароварки, аэрогрили, мини-печи и ростеры, хлебопечки ","6","5","264.32785471591563","1.0","1.0","00:00:00"
"Бытовая техника","Мелкая техника для кухни","Мультиварки","6","5","239.56843702449117","1.0","1.0","00:00:00"
"Бизнес","Открытие бизнеса","Не определено","6","3","250.32063092559363","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Аксессуары","Ювелирные украшения","6","6","64.40257580999018","1.0","1.0","00:00:00"
"Финансы","Финансовые услуги для бизнеса","Кредиты для бизнеса","6","6","62.56615081080585","1.0","1.0","00:00:00"
"Развлечения и досуг","Танцы","Не определено","6","6","90.30278487205506","0.8333333333333335","1.1666666666666667","00:00:00"
"Развлечения и досуг","Охота","Не определено","6","6","219.94253792536495","1.0","1.0","00:00:00"
"Развлечения и досуг","Музеи","Не определено","6","5","98.12756866347948","1.0","1.0","00:00:00"
"Развлечения и досуг","Телевидение","Не определено","6","6","92.64044063612381","1.0","1.0","00:00:00"
"Отдых и путешествия","Отдых в Азии","Не определено","6","6","78.77702509751873","1.0","1.0","00:00:00"
"Отдых и путешествия","Отдых в России и СНГ","Не определено","6","6","68.88180031994652","1.0","1.0","00:00:00"
"Транспорт","Авто","Автомобили малого класса","6","5","75.62717218865204","0.8333333333333335","1.1666666666666667","00:00:00"
"Красота и здоровье","Декоративная косметика","Не определено","5","5","55.3667664003203","1.0","1.0","00:00:00"
"Красота и здоровье","Декоративная косметика","Декоративная косметика для глаз","5","5","63.838095479109434","1.0","1.0","00:00:00"
"Красота и здоровье","Декоративная косметика","Декоративная косметика для лица","5","5","59.54353666409418","1.0","1.0","00:00:00"
"Бизнес","Грузоперевозки и транспортные услуги","Не определено","5","5","109.40729128138693","0.8","1.2","00:00:01"
"Строительство, обустройство и ремонт","Мебель","Кровати","5","5","308.40771103625354","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Мебель для детской","5","5","111.29697423223891","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Столы","5","5","196.5798309956804","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Дизайн интерьера","Не определено","5","4","115.7754108975168","1.0","1.0","00:00:00"
"Семья и дети","Товары для детей","Не определено","5","4","37.61626284658551","1.0","1.0","00:00:00"
"Еда и напитки","Доставка продуктов","Не определено","5","5","115.1177762085769","1.0","1.0","00:00:00"
"Развлечения и досуг","Рыбалка","Не определено","5","5","54.405736910489374","1.0","1.0","00:00:00"
"Животные","Не определено","Не определено","5","5","68.02494110275885","1.0","1.0","00:00:00"
"Недвижимость","Аренда недвижимости","Посуточная и почасовая аренда квартир","5","5","54.07569358324359","0.8","1.2","00:03:45"
"Отдых и путешествия","Круизы","Не определено","5","5","167.11797902833928","1.0","1.0","00:00:00"
"Отдых и путешествия","Билеты на поезд","Не определено","5","5","59.93893045699775","1.0","1.0","00:00:00"
"Спорт","Фигурное катание","Не определено","5","5","222.91338742620812","1.0","1.0","00:00:00"
"Спорт","Лыжный спорт","Не определено","5","5","218.92727978718744","1.0","1.0","00:00:00"
"Телеком","Доступ в интернет","Не определено","5","5","92.69987469113777","1.0","1.0","00:00:00"
"Бытовая техника","Техника для красоты и здоровья","Устройства для ухода за полостью рта","4","4","147.3985867435657","1.0","1.0","00:00:00"
"Бытовая техника","Техника для дома","Пылесосы","4","3","113.52342363079437","1.0","1.0","00:00:00"
"Бытовая техника","Мелкая техника для кухни","Мясорубки, кухонные комбайны и измельчители","4","3","138.53158849163415","1.0","1.0","00:00:00"
